Date,True,MA_filtered,EMA_filtered,bilateral_filtered
2000-04-10,1512.8374633789062,406494.9104309082,1420.3029331368964,1427.412015381236
2000-04-11,1501.1575012207031,406729.7254333496,1421.9040136930114,1427.5955791762476
2000-04-12,1485.7474975585938,406955.18545532227,1423.1682410962903,1427.798179923362
2000-04-13,1456.135009765625,407168.3129577637,1423.8210483966732,1427.983659520199
2000-04-14,1394.2450256347656,407322.0379638672,1423.2353845796058,1428.0510987487019
2000-04-17,1376.5075073242188,407468.66796875,1422.3100800794991,1428.237111398403
2000-04-18,1420.6174926757812,407669.6954345703,1422.2765634972473,1428.5948112601534
2000-04-19,1435.2574768066406,407866.2453918457,1422.533611285552,1428.8560054769785
2000-04-20,1429.894989013672,408055.2053527832,1422.6793811415544,1429.058667367996
2000-04-24,1426.5175170898438,408243.147857666,1422.7553838335996,1429.2395613259923
2000-04-25,1453.707489013672,408462.8228149414,1423.3682968074625,1429.5176995831937
2000-04-26,1469.5874633789062,408702.1252746582,1424.283527828679,1429.7718545392092
2000-04-27,1457.4825134277344,408920.4977722168,1424.940933484106,1429.9484380903637
2000-04-28,1459.780029296875,409124.5778198242,1425.6308165695073,1430.1539827784718
2000-05-01,1463.655029296875,409316.46783447266,1426.3837712769798,1430.37760127647
2000-05-02,1457.0025024414062,409508.37783813477,1426.9900827851864,1430.5567377246775
2000-05-03,1426.510009765625,409690.6753234863,1426.9805763887593,1430.7150066877944
2000-05-04,1412.6499633789062,409864.24530029297,1426.6968018737127,1430.932305810208
2000-05-05,1420.8274841308594,410051.30529785156,1426.5805777599928,1431.1801558959316
2000-05-08,1426.6200256347656,410244.9653015137,1426.5813589060278,1431.4311367384032
2000-05-09,1417.1100158691406,410436.8603210449,1426.3938075587628,1431.6367983223126
2000-05-10,1395.6175231933594,410595.03286743164,1425.7843761851905,1431.7921712630682
2000-05-11,1396.0425415039062,410729.95541381836,1425.195428963779,1431.9748089202471
2000-05-12,1416.6775207519531,410868.5029602051,1425.02675751404,1432.1661151407461
2000-05-15,1435.5625,411021.2104797363,1425.2353860781182,1432.3026850473645
2000-05-16,1459.8900146484375,411198.8854980469,1425.9216163468375,1432.4249170966302
2000-05-17,1455.3875427246094,411359.82553100586,1426.5051000374865,1432.482278763979
2000-05-18,1444.9100036621094,411508.2705078125,1426.8695535746078,1432.5014716248993
2000-05-19,1420.7774658203125,411628.9604797363,1426.7489181735327,1432.479709703565
2000-05-22,1396.7374877929688,411718.9379577637,1426.1546324234225,1432.5031893511552
2000-05-23,1387.9450073242188,411806.0379638672,1425.3980061838345,1432.6122058426029
2000-05-24,1383.9375,411883.2904663086,1424.5770060613822,1432.7221574183955
